Text,Sentiment,Platform,Country,Clean_Text,Sentiment_Category,Sentiment_Label
 Enjoying a beautiful day at the park!              ,Positive, Twitter  , USA      ,enjoying beautiful day park,Positive,2
 Traffic was terrible this morning.                 ,Negative, Twitter  , Canada   ,traffic terrible morning,Negative,0
 Just finished an amazing workout! 💪               ,Positive, Instagram , USA        ,finished amazing workout,Positive,2
 Excited about the upcoming weekend getaway!        ,Positive, Facebook , UK       ,excited upcoming weekend getaway,Positive,2
 Trying out a new recipe for dinner tonight.        ,Neutral, Instagram , Australia ,trying new recipe dinner tonight,Neutral,1
 Feeling grateful for the little things in life.    ,Positive, Twitter  , India    ,feeling grateful little thing life,Positive,2
 Rainy days call for cozy blankets and hot cocoa.   ,Positive, Facebook , Canada   ,rainy day call cozy blanket hot cocoa,Positive,2
 The new movie release is a must-watch!             ,Positive, Instagram , USA    ,new movie release mustwatch,Positive,2
 Political discussions heating up on the timeline.  ,Negative, Twitter  , USA      ,political discussion heating timeline,Negative,0
 Missing summer vibes and beach days.               ,Neutral, Facebook , Australia ,missing summer vibe beach day,Neutral,1
 Just published a new blog post. Check it out!      ,Positive, Instagram ,USA,published new blog post check,Positive,2
 Feeling a bit under the weather today.             ,Negative, Twitter  , Canada   ,feeling bit weather today,Negative,0
 Exploring the city's hidden gems.                  ,Positive, Facebook , UK       ,exploring city hidden gem,Positive,2
" New year, new fitness goals! 💪                    ",Positive, Instagram , USA        ,new year new fitness goal,Positive,2
 Technology is changing the way we live.            ,Neutral, Twitter  , India    ,technology changing way live,Neutral,1
 Reflecting on the past and looking ahead.          ,Positive, Facebook , USA      ,reflecting past looking ahead,Positive,2
 Just adopted a cute furry friend! 🐾              ,Positive, Instagram , Canada    ,adopted cute furry friend,Positive,2
 Late-night gaming session with friends.            ,Positive, Twitter  , UK       ,latenight gaming session friend,Positive,2
 Attending a virtual conference on AI.              ,Neutral, Facebook ,USA,attending virtual conference ai,Neutral,1
 Winter blues got me feeling low.                   ,Negative, Instagram , USA       ,winter blue got feeling low,Negative,0
 Sipping coffee and enjoying a good book.           ,Positive, Twitter  , India    ,sipping coffee enjoying good book,Positive,2
 Exploring the world of virtual reality.            ,Positive, Facebook ,USA,exploring world virtual reality,Positive,2
 Productive day ticking off my to-do list.          ,Positive, Instagram , USA ,productive day ticking todo list,Positive,2
 Just finished a challenging workout routine.       ,Positive, Twitter  , UK       ,finished challenging workout routine,Positive,2
 Celebrating a milestone at work! 🎉               ,Positive, Facebook , Canada  ,celebrating milestone work,Positive,2
 Sunday brunch with friends.                        ,Positive, Instagram , UK ,sunday brunch friend,Positive,2
